signal_label,horizon,n_events_raw,n_events_dedup,n_events_scored,n_effective,mean_event_return,median_event_return,hit_rate_event,p10_event_return,p25_event_return,p75_event_return,p90_event_return,mean_cluster_return,median_cluster_return,hit_rate_cluster,t_stat,p_value,universe,return_type,research_block,p_fdr
rvol_up2_pmarp_lt30_close_near_low,60,1067,711,661,349,0.07644981419805172,0.034635354907611715,0.5688350983358548,-0.17067438076297237,-0.07031122163592285,0.1561968126257156,0.32718647227020337,0.06445967221845998,0.03909654899780751,0.5931232091690545,4.699646677517041,3.7599093829177303e-06,pool,raw,low_state_rebound,1.2533031276392434e-05
rvol_up2_pmarp_lt30_sign_neg,5,1793,1646,1637,631,0.007387224222836187,0.005061425061425151,0.5436774587660355,-0.06897172190414089,-0.028772965879265255,0.04141038369157135,0.08475918715401164,0.0016785524353392764,0.0026248160809292376,0.526148969889065,0.7044505477025093,0.4814125540984388,pool,raw,low_state_rebound,0.48141255409843875
rvol_up2_pmarp_lt30_sign_neg,10,1793,1534,1524,610,0.01331605856941358,0.00924021235243655,0.562992125984252,-0.08175192069714503,-0.031924808266735744,0.05477295071893823,0.105780465791862,0.007609298884933435,0.007522226733668924,0.5540983606557377,2.264055371971492,0.023921591820469424,pool,raw,low_state_rebound,0.02660909169972573
rvol_up2_pmarp_lt30_sign_neg,20,1793,1363,1348,572,0.02814010201100493,0.017821487146158166,0.5808605341246291,-0.10301446578154258,-0.048633849081994335,0.08623362351451208,0.17095172418295074,0.021900570476836818,0.011232938920337582,0.5559440559440559,4.2656281687631035,2.333047543020347e-05,pool,raw,low_state_rebound,4.666095086040694e-05
rvol_up2_pmarp_lt30_sign_neg,40,1793,1160,1123,522,0.048041179666193416,0.018702321240129827,0.5583259127337489,-0.15513162439875178,-0.06967719357423979,0.12862143284026195,0.26317677274772167,0.036110280329571774,0.013876586651882516,0.5593869731800766,4.882265366692699,1.3968192762681801e-06,pool,raw,low_state_rebound,6.9840963813409e-06
rvol_up2_pmarp_lt30_sign_neg,60,1793,1030,964,468,0.06510613697024652,0.03239311256900812,0.5736514522821576,-0.1747494014695323,-0.0756006416010051,0.15469940871448284,0.29709899354873937,0.05642721445272863,0.02961244130158877,0.5833333333333334,4.961643741328158,9.80816930605523e-07,pool,raw,low_state_rebound,6.9840963813409e-06
pmarp_up2_accept_rvol_recent3,5,718,665,664,317,0.0031377117639606157,-0.0004570877036969567,0.4924698795180723,-0.054810547109142696,-0.02669701717228401,0.028249558690056242,0.05880182064517615,0.0022309886932799267,0.0006031300498920501,0.5110410094637224,0.7509748475358982,0.45322665769985615,pool,excess_spy,pmarp_rvol_lift,0.4806949399846959
pmarp_up2_accept_rvol_recent3,10,718,630,628,307,0.008053734929346804,0.002723937754221528,0.5270700636942676,-0.06472281648758767,-0.035442705349485154,0.0402903192239471,0.08777726197005037,0.00654000497093896,0.0021076784700051476,0.5211726384364821,1.700601683347244,0.09003378658018785,pool,excess_spy,pmarp_rvol_lift,0.13700793610028586
pmarp_up2_accept_rvol_recent3,20,718,602,599,299,0.012791025375273971,0.0032031141922332917,0.5158597662771286,-0.09185202143271964,-0.043284695825949404,0.058470099638319284,0.11030448877541926,0.010920632488875847,-0.0022400479505277904,0.4882943143812709,1.5518702828179243,0.12175460638560105,pool,excess_spy,pmarp_rvol_lift,0.17045644893984147
pmarp_up2_accept_rvol_recent3,40,718,545,530,282,0.029737924296430445,0.0034336151760736566,0.5113207547169811,-0.14864216032031552,-0.07552017978174833,0.08502966427933606,0.18945133408596534,0.021595735573049044,0.0018975415065907858,0.5141843971631206,1.503061795845543,0.13394610219953243,pool,excess_spy,pmarp_rvol_lift,0.18031206065321673
