cohort,horizon,n_events,n_path_scored,mean,median,p10,p25,p75,p90,top_10pct_contribution,bottom_10pct_contribution,mfe_mean,mae_mean,mfe_to_mae_ratio,right_tail_ratio,universe
rvol_up2_pmarp_gte60,60,8410,7838,0.03559091986247959,0.020228511668118454,-0.1571263489314041,-0.0679941399827749,0.11215934492104185,0.21639593898218495,1.1737910831664125,-0.673176599089203,0.14862530287759565,-0.10465282903008516,1.4201747268090523,1.3772097452392018,extended
rvol_up2_pmarp_gte60_sign_pos_close_near_high,5,3148,3131,0.0024889570849335294,-0.0001337236703452538,-0.05648534917895731,-0.025964191011500493,0.026931654099335844,0.06180848804127148,4.583181302059198,-3.7787709580687987,0.03926226739113696,-0.0353014826660373,1.1121988207285762,1.0942392839858237,extended
rvol_up2_pmarp_gte60_sign_pos_close_near_high,10,3148,3124,0.009977919769723939,0.00611601843782017,-0.07077217422786028,-0.031610098532103253,0.04448968014439314,0.09068441245726097,1.6495074852455105,-1.1668524347899456,0.057373725080370024,-0.047005571375100585,1.2205728683209152,1.2813568813823726,extended
rvol_up2_pmarp_gte60_sign_pos_close_near_high,20,3148,3113,0.016413374816015337,0.009271067832889113,-0.09338152120727462,-0.0425320906188007,0.06445606019675676,0.12926121691108552,1.4097394563818395,-0.9550240361429886,0.08361477751236963,-0.06405703047646197,1.3053177284434727,1.3842269352645307,extended
rvol_up2_pmarp_gte60_sign_pos_close_near_high,40,3148,3053,0.02570444676712639,0.01146924939651539,-0.13758894277759134,-0.06165453961793099,0.09473482356732243,0.18604447412174624,1.357494870267249,-0.835628306487871,0.12472983412925757,-0.09085503861153921,1.3728444347765214,1.352176056926914,extended
rvol_up2_pmarp_gte60_sign_pos_close_near_high,60,3148,2967,0.04116508574551768,0.02063174427331327,-0.1626617990178767,-0.07257043470165869,0.11424312730697761,0.22157579433844599,1.1871089870260996,-0.6016122228248372,0.16230329199340665,-0.10868821915364052,1.4932924033282433,1.3621870388516641,extended
rvol_up2_pmarp_lt30_close_near_low,5,3981,3973,0.008680522692993756,0.00786443160752115,-0.05195376304476029,-0.020217468816375983,0.03679016793770895,0.06867380911276343,1.2918323663634146,-1.0289541857046673,0.04305177252107565,-0.035808980920639985,1.2022618743741178,1.321825505759768,extended
rvol_up2_pmarp_lt30_close_near_low,10,3981,3967,0.01268845944753061,0.009982661777730328,-0.06622848877424209,-0.02551026794043365,0.05042675355258286,0.09122038301165848,1.137578327482447,-0.8641918164271956,0.05867633411859194,-0.04706670239689333,1.2466633762399488,1.3773586669417763,extended
rvol_up2_pmarp_lt30_close_near_low,20,3981,3941,0.02416336711364622,0.02077468217720746,-0.08317631224764455,-0.031774021103390226,0.07542127938048737,0.1354042950781904,0.8532301990657059,-0.5740752932892124,0.0830003467677855,-0.0623215212238731,1.331808741792893,1.627918952153651,extended
rvol_up2_pmarp_lt30_close_near_low,40,3981,3825,0.03767136282862688,0.02649931034849673,-0.11537422264935028,-0.04517989733016614,0.10777253807902332,0.19430746228167664,0.8386152325358195,-0.48950327347995487,0.12387092340031235,-0.08644733249368919,1.432906254329538,1.68414969843154,extended
rvol_up2_pmarp_lt30_close_near_low,60,3981,3691,0.05476106885553153,0.03715283439299366,-0.12533052472630568,-0.04856611385994508,0.13409917368751956,0.2398389718974996,0.7578632770364573,-0.3763547062615761,0.156182979793874,-0.10053078529438335,1.5535836046294162,1.9136517015408272,extended
rvol_up2_pmarp_lt30_sign_neg,5,6484,6458,0.007146794223989995,0.00711793255604054,-0.055114521349205726,-0.022302540456691028,0.03676681396884318,0.06920743655240091,1.5360615238848152,-1.3188251983200716,0.042952836706165724,-0.03785889449837305,1.1345507383479352,1.2557023967223166,extended
rvol_up2_pmarp_lt30_sign_neg,10,6484,6447,0.01090073583288562,0.009708728874782357,-0.07301504832061989,-0.029092028718387064,0.051132265525747345,0.09233357995205141,1.3234006852493447,-1.080103844469022,0.058769404397115095,-0.04968236577631933,1.1829026955299908,1.2645828781294643,extended
rvol_up2_pmarp_lt30_sign_neg,20,6484,6406,0.022023182820378122,0.019097427366076558,-0.09066025648483472,-0.0379043537179245,0.07556530710191878,0.13747696794496334,0.9471869455206443,-0.6593596720954219,0.08410800921863647,-0.06556549729138851,1.2828089878559248,1.5163972977283593,extended
rvol_up2_pmarp_lt30_sign_neg,40,6484,6199,0.034830069987275926,0.0219171337328945,-0.12200058932318168,-0.05285067443676916,0.10789829527569494,0.1971568014775583,0.9372071987488719,-0.5494181299036797,0.12524489438416433,-0.08982776427864962,1.394278209971354,1.616031550104127,extended
rvol_up2_pmarp_lt30_sign_neg,60,6484,5972,0.05350022390702001,0.03640054098965673,-0.133717073699368,-0.0554983624202868,0.13443856405991744,0.24333695053955798,0.7918912492926891,-0.3980634394739867,0.15835661830540923,-0.10456739955258254,1.5143975941161123,1.8197896783670646,extended
