ma_window,threshold,event_type,horizon,event_n_min,event_n_max,avg_mean_lift_pp,min_mean_lift_pp,max_mean_lift_pp,avg_hit_lift_pp,min_perm_p,max_perm_p,positive_mean_targets_count,positive_mean_targets,positive_hit_targets_count,positive_hit_targets,perm_sig_targets_count,perm_sig_targets,bootstrap_positive_targets_count,bootstrap_positive_targets,all_targets_positive_mean,all_targets_positive_hit,validity_score
20,0.7,high_strength,20,27,28,-0.43407309486630413,-1.0414632857785484,-0.077646352036812,-0.5094891164289369,0.590443686006826,0.7801578354002254,0,,2,"SPY,SOXX",0,,0,,False,False,2
20,0.75,high_strength,60,12,13,-0.6450568041270551,-1.0191273615486238,-0.4473642847194367,-0.17408711912571798,0.5174825174825175,0.5524475524475524,0,,2,"SPY,QQQ",0,,0,,False,False,2
50,0.7,high_strength,10,18,19,-0.6723369927982074,-1.6134606458555898,-0.07167538540580089,4.993008480702577,0.5904095904095904,0.8611388611388612,0,,2,"SPY,QQQ",0,,0,,False,False,2
20,0.8,high_strength,20,12,13,-0.9015396617862118,-2.5579371070423873,0.11405283603796897,-5.255862800142238,0.4175824175824176,0.8151848151848152,1,SPY,0,,0,,0,,False,False,1
50,0.7,high_strength,5,18,19,-0.3383339013659854,-0.4547615495581362,-0.23873133323294082,-2.432265695153141,0.6683316683316683,0.6983016983016983,0,,1,SPY,0,,0,,False,False,1
50,0.75,high_strength,10,10,11,-0.8455922036494222,-1.535551679941368,-0.36555347832698587,-9.59788057541885,0.6923076923076923,0.7842157842157842,0,,1,SPY,0,,0,,False,False,1
50,0.2,low_recovery,5,7,7,-1.1127099311631918,-2.12068995088773,-0.6003103708868532,-5.308710354274254,0.6733266733266733,0.8501498501498501,0,,1,SOXX,0,,0,,False,False,1
20,0.8,high_strength,60,7,8,-2.69911880209618,-4.529483836220422,-1.3061337245287623,-8.051845659512349,0.6223776223776224,0.7892107892107892,0,,1,SPY,0,,0,,False,False,1
20,0.25,low_recovery,5,21,22,-0.37667336410971375,-0.5232234895143903,-0.200300471938025,-8.806280335575273,0.6713286713286714,0.7982017982017982,0,,0,,0,,0,,False,False,0
20,0.7,high_strength,60,14,15,-0.8731612549740287,-1.511456219026459,-0.099454568875567,-4.686970266904855,0.32732732732732733,0.6676798378926039,0,,0,,0,,0,,False,False,0
20,0.2,low_recovery,5,18,19,-0.9414570311671322,-1.2545956839303956,-0.5850559375102745,-17.07931368751527,0.8541458541458542,0.9300699300699301,0,,0,,0,,0,,False,False,0
50,0.7,high_strength,60,11,12,-1.0040557624417197,-1.3874880391731945,-0.725582630997142,-5.0555235384956765,0.5584415584415584,0.6953046953046953,0,,0,,0,,0,,False,False,0
20,0.2,low_recovery,10,18,19,-1.2996262432483634,-1.6770134389688391,-0.8588200179417922,-11.61971845976674,0.8391608391608392,0.9270729270729271,0,,0,,0,,0,,False,False,0
50,0.3,low_recovery,10,17,17,-1.4513782157862805,-2.0826703129817816,-1.0221402413112486,-20.273939823060292,0.6200417536534447,0.9485148514851485,0,,0,,0,,0,,False,False,0
50,0.75,high_strength,20,10,11,-1.4770853513060553,-1.9878990449334661,-0.9573963077698557,-12.847210830252585,0.7852147852147852,0.9090909090909091,0,,0,,0,,0,,False,False,0
50,0.8,high_strength,60,4,5,-3.4638373192141234,-4.151017217182181,-2.6842133672039505,-11.00914430779792,0.6873126873126874,0.7832167832167832,0,,0,,0,,0,,False,False,0
50,0.8,high_strength,20,5,6,-4.031436150192732,-4.688473658270252,-2.728748429268841,-38.471769850754306,0.8751248751248751,0.988011988011988,0,,0,,0,,0,,False,False,0
