universe,return_type,signal_label,horizon,n_events_raw,n_events_dedup,n_events_scored,n_effective,mean_event_return,median_event_return,hit_rate_event,p10_event_return,p25_event_return,p75_event_return,p90_event_return,mean_cluster_return,median_cluster_return,hit_rate_cluster,t_stat,p_value,p_fdr
pool,excess_spy,rvol_up2_pmarp_mid,40,1968,1307,1269,547,0.020678374648680366,-0.0037540737303198846,0.48699763593380613,-0.1479438153988045,-0.0777771486497294,0.088837512412691,0.19264636223601717,0.023122676471074185,0.005893714302857678,0.5210237659963437,3.0597983456777325,0.0023236385781406996,0.004697331527133432
pool,excess_spy,rvol_up2_sign_flat,5,1083,1026,1024,406,-0.00022209929462324964,-0.0019156991863503725,0.48046875,-0.04548885714173221,-0.022870293953990456,0.02148175130550098,0.04618984186458093,0.0006406978861068627,-0.001805335120408915,0.4827586206896552,0.19287178554539477,0.8471560627979912,0.8471560627979912
pool,excess_spy,rvol_up2_sign_flat,10,1083,990,988,394,0.0032779319612632938,-0.0003781408365030048,0.4959514170040486,-0.06298330009366478,-0.02953079931639041,0.03367348483686622,0.07067769661596496,0.005928941410648913,0.002791847461736441,0.5152284263959391,1.5456342394283915,0.12299777092292459,0.16966351479614275
pool,excess_spy,rvol_up2_sign_flat,20,1083,931,928,375,0.0033127546776984844,-0.00036531726740096637,0.4978448275862069,-0.09332565790919728,-0.04489277555892218,0.04584443878772851,0.10258311687497654,0.005639230932844827,0.0024016994526273594,0.5173333333333333,1.0539344447538832,0.2925933283289186,0.36574166041114825
pool,excess_spy,rvol_up2_sign_flat,40,1083,812,791,330,0.0028528208280937974,-0.0021764524523507633,0.49051833122629585,-0.14088024722054437,-0.07439078256746773,0.06634810627956167,0.14393888177910974,0.013479848513333227,0.0013371762444467602,0.509090909090909,1.5289099046951968,0.12724763609710704,0.16966351479614275
pool,excess_spy,rvol_up2_sign_neg,5,2344,2163,2153,741,0.004617432920901764,0.001059796198173757,0.5132373432419879,-0.06228053475286181,-0.02861176998857451,0.031642109296109444,0.07008635086365754,0.0008820807024092876,-0.0011315017853510412,0.49122807017543857,0.391417377487787,0.6956014288035333,0.7728904764483703
pool,excess_spy,rvol_up2_sign_neg,10,2344,2014,1998,720,0.00804512341499408,0.002175879644511103,0.5165165165165165,-0.07677594135424429,-0.03449242510857908,0.041142744895415806,0.09508187878106474,0.004816411291214776,0.0017098778147771872,0.5166666666666667,1.5314224391822577,0.12610486744756969,0.16966351479614275
pool,excess_spy,rvol_up2_sign_neg,20,2344,1763,1742,676,0.013786294223084748,0.0021552521184484696,0.5074626865671642,-0.1045477690713433,-0.05177417635265,0.06328720203789959,0.13555981106454557,0.014855769984439483,0.0029972534677036866,0.5133136094674556,3.2556713264355066,0.00118777856323238,0.0029288750108816025
pool,excess_spy,rvol_up2_sign_neg,40,2344,1438,1393,602,0.02575087733752221,0.0006655733179736778,0.5003589375448672,-0.1474141872998364,-0.07722405846475067,0.08632483603580865,0.19090772209852852,0.024588729341520038,0.005244255607027903,0.5166112956810631,3.439058751461045,0.0006241510555618893,0.0018767804673225168
pool,excess_spy,rvol_up2_sign_pos,5,2426,2199,2189,777,0.008679609767871965,0.0011700971182372344,0.5153037916857013,-0.0659543431374345,-0.029186906497764342,0.03266404474774709,0.07927276566963627,0.012881712096921965,0.0016931434851198413,0.5212355212355212,3.609063246115552,0.00032701989043664256,0.0011891632379514275
pool,excess_spy,rvol_up2_sign_pos,10,2426,2025,2012,745,0.016522137697630942,0.004850622938169069,0.5342942345924453,-0.07963821159908654,-0.03681753616930272,0.047993952284019786,0.11466262143440009,0.02072719854135853,0.002860420755776194,0.5275167785234899,4.502511674801278,7.793272099690235e-06,7.793272099690236e-05
pool,excess_spy,rvol_up2_sign_pos,20,2426,1793,1777,702,0.02391864619210206,0.005806242022400099,0.5278559369724254,-0.10862055445687471,-0.0509550947865246,0.06478463388684519,0.1658987845399965,0.0263383014134515,0.009042677115009142,0.5584045584045584,4.951112639367202,9.253464876441976e-07,1.850692975288395e-05
pool,excess_spy,rvol_up2_sign_pos,40,2426,1468,1437,637,0.034481178016300344,0.002449293339518377,0.5100904662491301,-0.1623766697143051,-0.08057845353802973,0.10365905823878041,0.22752737191894654,0.037101116134474386,0.0012055110556850046,0.5086342229199372,4.297495445325076,1.998075464666034e-05,0.0001332050309777356
extended,raw,rvol_up2_all,5,21947,18076,18017,1146,0.005116383244912948,0.004282790776176659,0.5455958261641782,-0.05110696229719455,-0.021600868088670455,0.030329713054537688,0.06167526044973418,0.0029359526851208957,0.004329570066462404,0.5619546247818499,3.241404745409054,0.0012236895729742904,0.0016878476868610903
